email,jobTitle,numberOfPositions,gender,lastEducation,jurusan,minWorkExperience,ageRange_min,ageRange_max,lokasiKerja,requiredCompetencies,acceptedDisabilityTypes
pluitdohr@astonhotelsinternational.com,Internship Housekeeping,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
pluitdohr@astonhotelsinternational.com,Internship FB Servicce,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
pluitdohr@astonhotelsinternational.com,GRO Mandarin ,2,Perempuan,D1,,1-2 Tahun ,21,30,,Mandarin Speaking ,
pluitdohr@astonhotelsinternational.com,Graphic Designer ,1,Perempuan dan Laki-laki,D1,,1-2 Tahun ,21,45,,,
pluitdohr@astonhotelsinternational.com,Sales Banquet Manager ,1,Perempuan dan Laki-laki,D1,,3-5 Tahun,30,45,,,
pluitdohr@astonhotelsinternational.com,Sales Manager ,2,Perempuan dan Laki-laki,D1,,1-2 Tahun ,25,45,,,
pluitdohr@astonhotelsinternational.com,Bookeeper ,1,Perempuan dan Laki-laki,D1,,1-2 Tahun ,25,50,,,
pluitdohr@astonhotelsinternational.com,Internship Cook,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,19,22,,,Tunawicara 
pluitdohr@astonhotelsinternational.com,Internship Room Attendant ,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,19,22,,,Tunawicara 
pluitdohr@astonhotelsinternational.com,Internship FB Service,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,19,22,,,
Bocorocco@jobfair.com,Leather Footwear Designer,1,Perempuan dan Laki-laki,S1,Design Product; Fashion Design; Industrial Design,3-5 Tahun,24,40,,"- Pendidikan min. S1 semua jurusan diutamakan design product, fashion design, industrial design.
- Pengalaman min. 3 tahun sebagai designer sepatu fashion
- Memiliki pemahaman mendalam mengenai tren pasar sepatu dan preferensi konsumen.
- Menguasai penggunaan perangkat lunak CAD, seperti Adobe Illustrator atau perangkat lunak pemodelan 3D.
- Memiliki kepekaan estetika yang tinggi dan kemampuan untuk menciptakan desain yang inovatif dan orisinal.
- Memiliki pemahaman mendalam mengenai bahan dan proses produksi sepatu fashion.",
Bocorocco@jobfair.com,Organizational Development,1,Perempuan dan Laki-laki,S1,Psikologi; MSDM; Teknik Industri,3-4 tahun,25,40,,"- Berpengalaman min. 3-5 tahun dalam bidang OD perusahaan manufaktur.
- Mahir menggunakan Ms. Office (Excel Intermediate).
- Mampu mencari ide-ide baru, inisiatif, proaktif, serta mampu berpikir analitis dan konseptual.
- Memiliki keterampilan organisasi dan kepemimpinan yang baik dengan kemampuan presentasi yang kuat.
- Memiliki keterampilan komunikasi (lisan maupun tulisan) dan keterampilan interpersonal yang sangat baik.
- Data driven, detail-oriented dan mampu bekerja secara terstruktur.
- Adaptif dan mampu bekerja dalam tim maupun secara mandiri.",
Bocorocco@jobfair.com,Corporate Trainer,1,Perempuan dan Laki-laki,S1,,3-4 tahun,25,40,,"- Pendidikan S1 dengan 2–3 tahun pengalaman sebagai Sales Trainer, Corporate Trainer, atau L&D.
Atau pendidikan SMA dengan min. 5–6 tahun pengalaman di bidang yang sama, terutama di industri retail fashion (footwear).
- Berpengalaman dalam merancang TNA (Training Need Analysis), program e-Learning atau blended learning.
- Memahami teknik sales serta mampu mengevaluasi efektivitas training dan kinerja tim.
- Berpengalaman dalam coaching, mentoring, serta desain dan pengembangan modul pelatihan.
- Memiliki keterampilan komunikasi, presentasi, public speaking, dan interpersonal yang baik.
- Mampu memotivasi dan menginspirasi tim untuk melampaui target.",
Bocorocco@jobfair.com,Personal Assistant to CEO,1,Perempuan dan Laki-laki,S1,,>5 Tahun,25,40,,"- Pendidikan min. S1, diutamakan dari jurusan Finance, Manajemen, Komunikasi, atau Hukum.
- Berpengalaman min. 5 tahun sebagai Executive Secretary atau PA to CEO.
- Menguasai Microsoft Office dan email management.
- Memahami strategi, legalitas bisnis, perjanjian bisnis, dan prosedur akuntansi dasar serta implementasinya.
- Memiliki keterampilan organisasi, manajemen waktu, interpersonal, proaktif, dan negosiasi yang sangat baik.
- Memiliki kemampuan berbahasa Inggris (written & spoken).
- Memiliki kemampuan berbahasa Mandarin (nilai tambah).
- Bersedia melakukan perjalanan dinas dalam maupun luar negeri.
",
Bocorocco@jobfair.com,Marketing Officer,1,Perempuan dan Laki-laki,S1,,1-2 Tahun,23,30,,"- Pendidikan min. S1 segala jurusan (diutamakan Marketing, Manajemen, atau bidang terkait lainnya).
- Berpengalaman min. 1 tahun di bidang pemasaran.
- Menguasai penggunaan Ms. Office, design tools (seperti Canva), dan video editing tools (seperti CapCut).
- Memiliki pemahaman yang baik mengenai copywriting.
- Memiliki pengalaman dasar dalam project management (ruang lingkup marketing).
- Memiliki kemampuan interpersonal yang tinggi dan mampu berkoordinasi dengan baik.
- Kreatif dalam mengembangkan strategi brand secara visual maupun editorial.",
Bocorocco@jobfair.com,Personal Branding Assistant,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,23,35,,"- Pendidikan min. S1 semua jurusan (diutamakan Marketing, Public Relations, atau Desain Grafis).
- Pengalaman min. 1 tahun di posisi Social Media atau Content Creator.
- Memiliki kreativitas tinggi dalam pembuatan dan pengembangan konten media sosial, termasuk editing video.
- Menguasai Microsoft Office, email management, serta memahami algoritma dan fitur terbaru di berbagai platform media sosial.
- Mampu bekerja dalam lingkungan yang dinamis dan cepat, serta mudah beradaptasi dengan perubahan.",
Bocorocco@jobfair.com,Warehouse Staff,2,Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"- Pendidikan min. SMA/SMK, D3/D4/S1 segala jurusan.
- Berpengalaman 1–2 tahun sebagai Admin Warehouse.
- Memiliki keterampilan Excel tingkat menengah (Pivot Table, LOOKUP, IF Function); sertifikasi menjadi nilai tambah.
- Memahami dan mampu menggunakan sistem serta warehouse management.
- Memiliki kemampuan manajemen waktu, inisiatif, kedisiplinan, kerja sama tim, dan interpersonal yang baik.
- Memiliki daya juang tinggi dan bersedia bekerja di bawah tekanan.
- Teliti dalam quality control dan detail dalam pengelolaan dokumen.
- Bersedia WFO 6 hari kerja dengan sistem shifting.",
Bocorocco@jobfair.com,Admin Sales,2,Perempuan dan Laki-laki,D3,,1-2 Tahun ,20,35,,"- Pendidikan min. D3, D4, atau S1 segala jurusan.
- Berpengalaman 1–2 tahun sebagai Admin atau Data Analyst Excel.
- Mahir menggunakan Ms. Office dan manajemen email.
- Memiliki keterampilan Excel tingkat menengah (Pivot Table, LOOKUP, IF Function); sertifikasi menjadi nilai tambah.
- Mahir mengetik cepat dan akurat serta memiliki keterampilan entry data.
- Memahami prosedur pelaporan penjualan dan pengarsipan dokumen.
- Memiliki keterampilan komunikasi dan negosiasi yang kuat.
- Detail-oriented dan memiliki inisiatif tinggi untuk mencapai target perusahaan.
- Bersedia WFO 6 hari kerja dengan sistem shifting.",
Bocorocco@jobfair.com,Customer Support,2,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"- Pendidikan min. S1 semua jurusan (diutamakan Komunikasi dan Marketing).
- Berpengalaman min. 2–3 tahun sebagai Customer Support/Service (offline & online).
- Memahami penggunaan website dan Google Workspace (Spreadsheet & Docs).
- Memiliki kemampuan analisa yang baik dalam memecahkan masalah pekerjaan.
- Mengimplementasikan prinsip customer-oriented dalam setiap tugas.
- Memiliki kemampuan komunikasi dan negosiasi yang baik.
- Mampu menerapkan nilai service excellence dalam pekerjaan.
- Bersedia WFO 6 hari kerja dengan sistem shifting.",
Bocorocco@jobfair.com,Merchandiser Analyst,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,23,35,,"- Pendidikan min. S1 semua jurusan, diutamakan Marketing, Business, atau Fashion.
- Pengalaman min. 1 tahun sebagai Merchandiser di industri Retail (wajib).
- Menguasai Microsoft Office terutama Excel dan email management.
- Memiliki pemahaman mendalam mengenai strategi Merchandising dan implementasinya.
- Memahami tren pasar secara mendalam.
- Bersedia WFO Senin–Jumat di Head Office Tangerang.",
Bocorocco@jobfair.com,Procurement,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,23,35,,"- Pendidikan minimal S1 semua jurusan, diutamakan Marketing.
- Pengalaman 2–3 tahun sebagai Procurement, Buyer, atau Purchasing di Retail Fashion Industry.
- Memahami proses pengadaan barang, negosiasi vendor, dan pembayaran.
- Familiar dengan inventory control, stock opname, dan pelacakan logistik.
- Mampu merencanakan harga jual produk apparel dan menganalisis kebutuhan barang.
- Memiliki kemampuan analisis untuk pengambilan keputusan terbaik.
- Komunikasi dan negosiasi yang baik dengan vendor dan pihak terkait.
- Berpikir cepat dan kreatif dalam menemukan solusi masalah.
- Detail-oriented, mampu mengelola dokumen dan laporan dengan akurat.
- Memiliki daya juang tinggi, cekatan, tangguh di bawah tekanan, dan mampu multitasking.
- Berorientasi hasil dengan kemampuan mengelola prioritas dan deadline.",
Bocorocco@jobfair.com,Jr Social Media Specialist,1,Laki-laki,D3,,1-2 Tahun ,23,30,,"- Pendidikan min. D3, D4, atau S1 segala jurusan (Marketing atau Desain Grafis diutamakan).
- Sangat memahami dunia sepakbola Indonesia.
- Memiliki kreativitas tinggi dalam pembuatan dan pengembangan konten media sosial.
- Memahami algoritma dan fitur terbaru di platform media sosial.
- Menguasai design tools umum (seperti Canva) dan video editing tools (seperti CapCut).
- Memiliki kemampuan interpersonal yang tinggi untuk koordinasi yang baik.
- Memiliki kemampuan analisa yang kuat dan mampu menggali berbagai informasi.",
Bocorocco@jobfair.com,Sales Advisor (Freelance & Regular),10,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun ,18,35,,"- Pendidikan min. SMA/SMK Sederajat semua jurusan.
- Berpengalaman min. 1–2 tahun di bidang Sales Retail Fashion (diutamakan).
- Terbiasa bekerja dengan target penjualan besar dan memiliki daya juang tinggi.
- Percaya diri, komunikatif, dan memiliki kemampuan interpersonal yang baik.
- Kompetitif dan persuasif dalam menjelaskan product knowledge dan unique selling point.
- Disiplin, cekatan, teliti, jujur, dan mampu bekerja sesuai prosedur perusahaan.
- Bersedia rolling atau mutasi sesuai kebutuhan perusahaan.
- Sudah vaksin minimal hingga booster 1.",
Bocorocco@jobfair.com,K3/HSE,1,Perempuan dan Laki-laki,D3,Teknik Lingkungan; K3,1-2 Tahun ,23,35,,"- Pendidikan min. D3/S1 K3, Teknik Lingkungan, atau setara.
- Pengalaman min. 1 tahun di bidang HSE manufaktur.
- Memahami regulasi K3 dan lingkungan kerja.
- Terbiasa membuat laporan HSE dan investigasi insiden.
- Memiliki sertifikasi AK3 Umum (diutamakan).
- Komunikatif dan mampu memberikan sosialisasi K3 ke karyawan.
- Teliti, disiplin, dan tanggap risiko.",
Bocorocco@jobfair.com,Accounting & Tax,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,23,35,,"- Pendidikan minimal D3/S1 Akuntansi atau Perpajakan.
- Pengalaman 1–2 tahun di bidang keuangan perusahaan.
- Memiliki sertifikasi Brevet A & B.
- Selalu mengikuti perkembangan peraturan perpajakan terbaru.
- Terbiasa membuat Laporan Keuangan dan Laporan Penjualan.
- Mahir menggunakan Ms. Office dan program accounting (Zahir).
- Berinisiatif tinggi dan mampu bekerja mandiri.
- Terbiasa bekerja dengan data.
- Teliti, detail, akurat, dan mampu multitasking.",
dhaniaratri@gmail.com,Project Manager (Beauty Brand),1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,21,35,,"Teamwork, Leadeship, Canva, Microsoft Office, Project Management, Time Management, Critical Thinking, Task Management,Communiaction, Coordinating Task.",
dhaniaratri@gmail.com,Key Account Executive,1,Perempuan dan Laki-laki,D3,,1-2 Tahun ,21,35,,"Negotiation, Sales Persentations, Marketing, Communication, Account Management, Sales Promotion",
dhaniaratri@gmail.com,Account Executive (All Areass),1,Perempuan dan Laki-laki,D3,,1-2 Tahun ,21,35,,"Negotiation, Sales Persentations, Marketing, Communication, Account Management, Sales Promotion",
dhaniaratri@gmail.com,Logistic Lead,1,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun ,21,37,,"Leadership, Communication, Teamwork, Logistic Management, Inventory Control, SAP Product",
dhaniaratri@gmail.com,Sales Data Analyst,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,21,37,,"Problem Solving, Critical Thinking, Data Analytics, Microsoft Excel, Power BI, Dashboard, Communication, Sales Strategy, Program Monitoring,",
dhaniaratri@gmail.com,Admin,1,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,31,,"Administrative, Attention to detail, Communication, Microsoft Office",
dhaniaratri@gmail.com,Graphic Design,1,Perempuan dan Laki-laki,D3,,Lulusan Baru,21,31,,"Editing, Design Tools, Adobe Illustrator, Software Design, Teamwork, Creattive, Communication",
dhaniaratri@gmail.com,Digital Marketing,1,Perempuan dan Laki-laki,D3,,1-2 Tahun ,21,31,,"Digital Marketing, Marketing strategy, Google Ads, Campaign, Avertising",
dhaniaratri@gmail.com,R&D Formulations,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,21,31,,"Product Development, Research Skill, Research & Development, Product Analysis",
dhaniaratri@gmail.com,Content Creator,1,Perempuan dan Laki-laki,D3,,Lulusan Baru,21,31,,"Content Strategy, Copywriting, Editing, Instagram & Tiktok Analytics, Storytelling, Social Media Marketing, Communication, Interpersonal Skills",
dhaniaratri@gmail.com,R&D Packaging Development,1,Perempuan dan Laki-laki,S1,,1-2 Tahun ,21,31,,"Product Design, Product Strategy, Product Launch",
dhaniaratri@gmail.com,Finance & Accounting Staff,1,Perempuan dan Laki-laki,D3,,1-2 Tahun ,21,31,,"Attention To Detail, Administrative, Software Accounting (Accurate, Journal.id), Microsoft Excel, Financial reporting, Tax,",
 natashadesmeldaa@gmail.com,Editor,10,Perempuan dan Laki-laki,S1,,Lulusan Baru,18,27,,TOEFL Minimal 500,
 natashadesmeldaa@gmail.com,Staff Akunting,5,Laki-laki,S1,Akuntansi,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Staff Keuangan,6,Laki-laki,S1,Akuntansi,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Analis Kredit,5,Laki-laki,S1,Akuntansi,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Internal Audit,4,Laki-laki,S1,Akuntansi,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Sales Representative,25,Laki-laki,S1,,Lulusan Baru,18,27,,Komunikatif,
 natashadesmeldaa@gmail.com,Staff Pajak,5,Laki-laki,S1,Akutansi; Pajak,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Marketing Communication,4,Perempuan dan Laki-laki,S1,Web Programmer; Teknik Informatika;  Portopolio Web; Komunikasi,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Web Programmer,8,Perempuan dan Laki-laki,S1,,Lulusan Baru,18,30,,,
 natashadesmeldaa@gmail.com,Desain,5,Perempuan dan Laki-laki,S1,"Desain, Portopolio",Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Programmer,5,Perempuan dan Laki-laki,S1,,Lulusan Baru,18,30,,,
 natashadesmeldaa@gmail.com,Video Editor,3,Perempuan dan Laki-laki,S1,"Teknik Informatika, Portopolio",Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Sosial Media Spesialist,2,Perempuan dan Laki-laki,S1,DKV; Portopolio,1-2 Tahun ,25,40,,,
 natashadesmeldaa@gmail.com,Produser News,1,Perempuan dan Laki-laki,S1,,>5 Tahun,18,27,,,
 natashadesmeldaa@gmail.com,IT Database,2,Laki-laki,S1,Teknik Informatika,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Psikolog,1,Perempuan dan Laki-laki,S2,Profesi Psikolog,3-5 Tahun,25,40,,,
 natashadesmeldaa@gmail.com,Ast. Operator,1,Laki-laki,SMA/SMK,Teknik Grafika ,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Staff Product (Jaja),1,Laki-laki,D3,,Lulusan Baru,18,27,,,
 natashadesmeldaa@gmail.com,Kitchen Kata Rasa,1,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,18,27,,Memiliki pengalaman dalam bidang FnB.,
Santini@jobfair.com,Quality Assurance Manager,1,Laki-laki,S1,Teknik Elektro,>5 Tahun,25,35,,"- Memahami standar sistem mutu seperti ISO 9001, HACCP, GMP, atau standar lainnya sesuai industri.
- Komunikatif, detail, dan mampu bekerja di bawah tekanan.
- Memiliki kemampuan analisis, pemecahan masalah, dan kepemimpinan yang baik.
- Menjaga dan memastikan standar mutu sesuai SOP.
- Memberikan rekomendasi perbaikan terhadap temuan kualitas.
- Menganalisis hasil pengujian dan membuat laporan.
- Mampu bekerja secara teliti, cepat, dan dalam tim.
- Memahami prosedur dan penggunaan alat ukur/laboratorium.",
Santini@jobfair.com,Admin Head Accounting,3,Perempuan,S1,Akuntansi,3-5 Tahun,30,38,Jakarta; Tangerang; Bekasi,"- Menguasai perpajakan, penjurnalan, laporan keuangan & kepesertaan bpjs (ketenagakerjaan & kesehatan).
- Menguasai Penghitungan Payroll.
- Menguasai Sistem akuntansi (accurate dan lainnya).
- Menguasai microsoft office (word, excel & power point).
- Menguasai korespondensi via e-mail.
- Mampu bekerja secara mandiri maupun dalam tim.
- Bersedia melakukan perjalanan dinas luar kota.",
Santini@jobfair.com,Admin Head Accounting,1,Perempuan,S1,Akuntansi,3-5 Tahun,30,38,Medan,"- Menguasai perpajakan, penjurnalan, laporan keuangan & kepesertaan bpjs (ketenagakerjaan & kesehatan).
- Menguasai Penghitungan Payroll.
- Menguasai Sistem akuntansi (accurate dan lainnya).
- Menguasai microsoft office (word, excel & power point).
- Menguasai korespondensi via e-mail.
- Mampu bekerja secara mandiri maupun dalam tim.
- Bersedia melakukan perjalanan dinas luar kota.
- Mampu berbahasa Mandarin lebih diminati.",
Santini@jobfair.com,Sales Manager,4,Laki-laki,S1 ,,3-5 Tahun,30,38,Jakarta;  Tangerang;  Bekasi,"- Minimal 3 tahun pengalaman di posisi Sales Manager.
- Berpengalaman sebagai Sales Manager / Asisten Manager sales part otomatif (Battery, Lubricant, sparepart atau lainnya)
- Target Oriented.
- Menguasai Microsoft Office (Word, Excel & Power Point) & Korespondensi via internet / email.
- Mampu bekerja secara mandiri maupun dalam team.",
SuryaUtama@jobfair.com,Digital Marketing,1,Perempuan dan Laki-laki,S1,,3-5 Tahun,25,35,,"- Memahami standart sistem mutu  ISO9001 dll.
- Mampu bekerja di bawah tekanan.
- Menguasahi dasar-dasar marketing.
- Mampu menganalisa data.
- Dapat menulis konten yg menarik & informatif.
- Mampu belajar & cepat beradaptasi.",
SuryaUtama@jobfair.com,Supervisor,2,Laki-laki,D3,,3-5 Tahun,25,35,,"- Memahami standart sistem mutu  ISO9001 dll, K3.
- Bersedia berkerja di wilayah Papua.
- Mampu bekerja di bawah tekanan.
- Mampu menganalisa, mengatasi masalah & kepemimpinan.
- Memahami prosesur & pemakaian alat ukur.
- Mampu menganalisa hasil uji & membuat Laporan.
- Mampu bekerja dalam team secara cepat & teliti.",
SuryaUtama@jobfair.com,Instalatir Lapangan,10,Laki-laki,SMA/SMK,,1-2 Tahun ,22,30,,"- Memahami standart sistem mutu  ISO9001 dll, K3.
- Bersedia berkerja di wilayah Papua.
- Mampu bekerja di bawah tekanan.
- Memahami prosesur & pemakaian alat ukur.
- Mampu menganalisa hasil uji & membuat Laporan.
- Mampu bekerja dalam team secara cepat & teliti.
- Mampu menganalisa, mengatasi masalah & kepemimpinan.",
hanif.taftazani@gmail.com,Back End (Java),10,Perempuan dan Laki-laki,S1,,3-5 Tahun,,35,,Java Programming | Spring Boot / Quarkus,
hanif.taftazani@gmail.com,System Analyst,5,Perempuan dan Laki-laki,S1,,3-5 Tahun,,35,,Visio / Draw.io / Figma / SQL / Jira,
hanif.taftazani@gmail.com,Quality Assurance,5,Perempuan dan Laki-laki,S1,,3-5 Tahun,,35,,Katalon / Selenium / Appium & Manual Testing,
hanif.taftazani@gmail.com,Data Engineer,5,Perempuan dan Laki-laki,S1,,3-5 Tahun,,35,,"Talend / Pentaho / SSIS, Python, Apache Spark",
recruitmentidmjkt1@gmail.com,STORE CREW BOY,60,Laki-laki,SMA/SMK,,Lulusan Baru,18,24,,"Komunikasi yang baik, memiliki jiwa melayani, ramah",
recruitmentidmjkt1@gmail.com,STORE CREW GIRL,40,Perempuan,SMA/SMK,,Lulusan Baru,18,24,,"Komunikasi yang baik, memiliki jiwa melayani, ramah",
recruitmentidmjkt1@gmail.com,DRAFTER,1,Laki-laki,SMA/SMK,,Lulusan Baru,18,24,,"Kemampuan Menggambar Teknik, Penguasaan Software CAD Software tambahan: SketchUp, SolidWorks, Revit, ArchiCAD, tergantung bidang (arsitektur, mesin, sipil, dll). Membaca dan Memahami Gambar Teknik",
recruitmentidmjkt1@gmail.com,PENGAWAS LAPANGAN,1,Laki-laki,SMA/SMK,,Lulusan Baru,18,24,,"Pemahaman Gambar Teknik dan Spesifikasi, Pengetahuan Proses Konstruksi, Pengendalian Kualitas (Quality Control)",
recruitmentidmjkt1@gmail.com,OFFICE BOY,14,Laki-laki,SMA/SMK,,Lulusan Baru,18,30,,"Rajin, dan memahami komunikasi via tulisan",Disabilitas Rungu
recruitmentidmjkt1@gmail.com,TEKNISI ,1,Laki-laki,SMA/SMK,,1-2 Tahun ,18,24,,"Penguasaan electrical, panel listrik.",
recruitmentidmjkt1@gmail.com,STORE CREW BOY,40,Laki-laki,SMA/SMK,,Lulusan Baru,18,24,,Pelayanan dan komunikasi baik.,Disabilitas Rungu
recruitmentidmjkt1@gmail.com,STORE CREW GIRL,25,Perempuan,SMA/SMK,,Lulusan Baru,18,24,,Pelayanan dan komunikasi baik.,
recruitmentidmjkt1@gmail.com,BARISTA,9,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun ,18,24,,"Kemampuan pelayanan, komunikasi, penggunaan alat pembuat kopi dan perawatannya.",
recruitmentkmart@gmail.com,Crew Store,40,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,18,26,,Pelayanan Pelanggan & Komunikatif,Disabilitas Daksa Ringan
recruitmentkmart@gmail.com,Head of Store,10,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun,22,33,,"Kepemimpinan Tim, Pelayanan Pelanggan & Komunikatif",Disabilitas Daksa Ringan
recruitmentkmart@gmail.com,IT,2,Perempuan dan Laki-laki,S1,,1-2 Tahun,22,33,,"Front End, Java, Sql",
recruitmentkmart@gmail.com,Maintenance ,2,Laki-laki,SMA/SMK,,1-2 Tahun,20,35,,"Kelistrikan, Peralatan Masak, Mesin Pendingin",
recruitmentkmart@gmail.com,Trainer ,2,Perempuan dan Laki-laki,S1,,1-2 Tahun,22,35,,"Training Need Analyst, Komunikatif, Kreatif",
recruitmentkmart@gmail.com,Admin Finance,1,Perempuan,S1,,1-2 Tahun,22,35,,Detail dan Administratif,
recruitmentkmart@gmail.com,Inventory Control,1,Perempuan dan Laki-laki,S1,,1-2 Tahun,22,35,,"Detail, Administratif, dan Problem Solving",
recruitmentkmart@gmail.com,MD F&B,1,Perempuan dan Laki-laki,S1,,1-2 Tahun,22,35,,"Komunikatif, Analisis Tren & Data, dan Negoisasi",
recruitmentkmart@gmail.com,SENIOR CREATIVE DESIGN CREATOR,1,Perempuan dan Laki-laki,S1,,1-2 Tahun,24,30,,"Menguasai Software Design Adobe Dll, Memahami Prinsip Design, Komunikatif, Management waktu",
recruitmentkmart@gmail.com,CONTENT CREATOR,1,Laki-laki,S1,,1-2 Tahun,23,28,,"Mahir dalam menggunakan tools (Canva,CapCut, Ig, Tiktok), memahami kultur korea dan kemampuan copywriting dan storytelling.",
Dlv.delvin@gmail.com,SALES EXECUTIVE / PRAMUNIAGA,30,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun,19,35,,"Selling Skill, Komunikasi, Negosiasi, Team Work",
Dlv.delvin@gmail.com,BARISTA,10,Laki-laki,SMA/SMK,,1-2 Tahun,19,28,,"Komunikasi, Barista, Service Exelance",
Dlv.delvin@gmail.com,STORE LEADER / SUPERVISOR,5,Laki-laki,D4,,3-5 Tahun,25,35,,"Leadership, Reporting, Negosiasi, Planning",
Dlv.delvin@gmail.com,SALES PROJECT FURNITURE,2,Perempuan dan Laki-laki,S1,,1-2 Tahun,25,30,,"Negosiasi, Designer, Planning, Selling Skill",
Dlv.delvin@gmail.com,Operation Merchendiser,5,Laki-laki,SMA/SMK,,1-2 Tahun,19,35,,"Merchendising, Selling Skill, Layout Planning",
Dlv.delvin@gmail.com,Customer Service,5,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun,19,35,,"Customer Oriented, Service, Negosiasi, Problem Solving",
Dlv.delvin@gmail.com,KASIR,5,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun,19,35,,"SAP, teliti, komunikasi",
Lawson@jobfair.com,CREW STORE,20,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,18,28,,Komunikasi dan penawaran.,Disabilitas Daksa
Lawson@jobfair.com,CREW DISABILITAS,10,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,18,28,,,Disabilitas Daksa
